PassengerId,Survived,Age,SibSp,Parch,Fare,Sex,Embarked,Pclass
661,1,50.0,2,0,133.65,male,S,1
853,0,9.0,1,1,15.2458,female,C,3
704,0,25.0,0,0,7.7417,male,Q,3
887,0,27.0,0,0,13.0,male,S,2
526,0,40.5,0,0,7.75,male,Q,3
179,0,30.0,0,0,13.0,male,S,2
400,1,28.0,0,0,12.65,female,S,2
80,1,30.0,0,0,12.475,female,S,3
852,0,74.0,0,0,7.775,male,S,3
247,0,25.0,0,0,7.775,female,S,3
203,0,34.0,0,0,6.4958,male,S,3
638,0,31.0,1,1,26.25,male,S,2
805,1,27.0,0,0,6.975,male,S,3
231,1,35.0,1,0,83.475,female,S,1
51,0,7.0,4,1,39.6875,male,S,3
167,1,,0,1,55.0,female,S,1
530,0,23.0,2,1,11.5,male,S,2
607,0,30.0,0,0,7.8958,male,S,3
8,0,2.0,3,1,21.075,male,S,3
859,1,24.0,0,3,19.2583,female,C,3
336,0,,0,0,7.8958,male,S,3
833,0,,0,0,7.2292,male,C,3
233,0,59.0,0,0,13.5,male,S,2
151,0,51.0,0,0,12.525,male,S,2
374,0,22.0,0,0,135.6333,male,C,1
448,1,34.0,0,0,26.55,male,S,1
86,1,33.0,3,0,15.85,female,S,3
566,0,24.0,2,0,24.15,male,S,3
133,0,47.0,1,0,14.5,female,S,3
663,0,47.0,0,0,25.5875,male,S,1
345,0,36.0,0,0,13.0,male,S,2
784,0,,1,2,23.45,male,S,3
10,1,14.0,1,0,30.0708,female,C,2
255,0,41.0,0,2,20.2125,female,S,3
767,0,,0,0,39.6,male,C,1
83,1,,0,0,7.7875,female,Q,3
65,0,,0,0,27.7208,male,C,1
549,0,33.0,1,1,20.525,male,S,3
329,1,31.0,1,1,20.525,female,S,3
722,0,17.0,1,0,7.0542,male,S,3
373,0,19.0,0,0,8.05,male,S,3
120,0,2.0,4,2,31.275,female,S,3
418,1,18.0,0,2,13.0,female,S,2
585,0,,0,0,8.7125,male,C,3
592,1,52.0,1,0,78.2667,female,C,1
417,1,34.0,1,1,32.5,female,S,2
802,1,31.0,1,1,26.25,female,S,2
513,1,36.0,0,0,26.2875,male,S,1
456,1,29.0,0,0,7.8958,male,C,3
758,0,18.0,0,0,11.5,male,S,2
276,1,63.0,1,0,77.9583,female,S,1
122,0,,0,0,8.05,male,S,3
444,1,28.0,0,0,13.0,female,S,2
459,1,50.0,0,0,10.5,female,S,2
654,1,,0,0,7.8292,female,Q,3
726,0,20.0,0,0,8.6625,male,S,3
396,0,22.0,0,0,7.7958,male,S,3
755,1,48.0,1,2,65.0,female,S,2
41,0,40.0,1,0,9.475,female,S,3
218,0,42.0,1,0,27.0,male,S,2
458,1,,1,0,51.8625,female,S,1
733,0,,0,0,0.0,male,S,2
470,1,0.75,2,1,19.2583,female,C,3
251,0,,0,0,7.25,male,S,3
125,0,54.0,0,1,77.2875,male,S,1
471,0,,0,0,7.25,male,S,3
292,1,19.0,1,0,91.0792,female,C,1
170,0,28.0,0,0,56.4958,male,S,3
301,1,,0,0,7.75,female,Q,3
667,0,25.0,0,0,13.0,male,S,2
886,0,39.0,0,5,29.125,female,Q,3
35,0,28.0,1,0,82.1708,male,C,1
349,1,3.0,1,1,15.9,male,S,3
164,0,17.0,0,0,8.6625,male,S,3
160,0,,8,2,69.55,male,S,3
288,0,22.0,0,0,7.8958,male,S,3
184,1,1.0,2,1,39.0,male,S,2
370,1,24.0,0,0,69.3,female,C,1
598,0,49.0,0,0,0.0,male,S,3
22,1,34.0,0,0,13.0,male,S,2
707,1,45.0,0,0,13.5,female,S,2
388,1,36.0,0,0,13.0,female,S,2
284,1,19.0,0,0,8.05,male,S,3
761,0,,0,0,14.5,male,S,3
771,0,24.0,0,0,9.5,male,S,3
763,1,20.0,0,0,7.2292,male,C,3
161,0,44.0,0,1,16.1,male,S,3
344,0,25.0,0,0,13.0,male,S,2
121,0,21.0,2,0,73.5,male,S,2
315,0,43.0,1,1,26.25,male,S,2
128,1,24.0,0,0,7.1417,male,S,3
835,0,18.0,0,0,8.3,male,S,3
673,0,70.0,0,0,10.5,male,S,2
81,0,22.0,0,0,9.0,male,S,3
692,1,4.0,0,1,13.4167,female,C,3
416,0,,0,0,8.05,female,S,3
655,0,18.0,0,0,6.75,female,Q,3
447,1,13.0,0,1,19.5,female,S,2
193,1,19.0,1,0,7.8542,female,S,3
23,1,15.0,0,0,8.0292,female,Q,3
182,0,,0,0,15.05,male,C,2
587,0,47.0,0,0,15.0,male,S,2
493,0,55.0,0,0,30.5,male,S,1
657,0,,0,0,7.8958,male,S,3
123,0,32.5,1,0,30.0708,male,C,2
683,0,20.0,0,0,9.225,male,S,3
875,1,28.0,1,0,24.0,female,C,2
705,0,26.0,1,0,7.8542,male,S,3
213,0,22.0,0,0,7.25,male,S,3
67,1,29.0,0,0,10.5,female,S,2
509,0,28.0,0,0,22.525,male,S,3
191,1,32.0,0,0,13.0,female,S,2
85,1,17.0,0,0,10.5,female,S,2
243,0,29.0,0,0,10.5,male,S,2
156,0,51.0,0,1,61.3792,male,C,1
332,0,45.5,0,0,28.5,male,S,1
786,0,25.0,0,0,7.25,male,S,3
752,1,6.0,0,1,12.475,male,S,3
829,1,,0,0,7.75,male,Q,3
102,0,,0,0,7.8958,male,S,3
229,0,18.0,0,0,13.0,male,S,2
506,0,18.0,1,0,108.9,male,C,1
719,0,,0,0,15.5,male,Q,3
837,0,21.0,0,0,8.6625,male,S,3
880,1,56.0,0,1,83.1583,female,C,1
518,0,,0,0,24.15,male,Q,3
95,0,59.0,0,0,7.25,male,S,3
668,0,,0,0,7.775,male,S,3
680,1,36.0,0,1,512.3292,male,C,1
606,0,36.0,1,0,15.55,male,S,3
246,0,44.0,2,0,90.0,male,Q,1
333,0,38.0,0,1,153.4625,male,S,1
397,0,31.0,0,0,7.8542,female,S,3
730,0,25.0,1,0,7.925,female,S,3
868,0,31.0,0,0,50.4958,male,S,1
846,0,42.0,0,0,7.55,male,S,3
290,1,22.0,0,0,7.75,female,Q,3
143,1,24.0,1,0,15.85,female,S,3
477,0,34.0,1,0,21.0,male,S,2
377,1,22.0,0,0,7.25,female,S,3
685,0,60.0,1,1,39.0,male,S,2
293,0,36.0,0,0,12.875,male,C,2
46,0,,0,0,8.05,male,S,3
431,1,28.0,0,0,26.55,male,S,1
385,0,,0,0,7.8958,male,S,3
624,0,21.0,0,0,7.8542,male,S,3
462,0,34.0,0,0,8.05,male,S,3
486,0,,3,1,25.4667,female,S,3
27,0,,0,0,7.225,male,C,3
363,0,45.0,0,1,14.4542,female,C,3
269,1,58.0,0,1,153.4625,female,S,1
64,0,4.0,3,2,27.9,male,S,3
665,1,20.0,1,0,7.925,male,S,3
794,0,,0,0,30.6958,male,C,1
867,1,27.0,1,0,13.8583,female,C,2
34,0,66.0,0,0,10.5,male,S,2
463,0,47.0,0,0,38.5,male,S,1
748,1,30.0,0,0,13.0,female,S,2
430,1,32.0,0,0,8.05,male,S,3
119,0,24.0,0,1,247.5208,male,C,1
16,1,55.0,0,0,16.0,female,S,2
717,1,38.0,0,0,227.525,female,C,1
43,0,,0,0,7.8958,male,C,3
479,0,22.0,0,0,7.5208,male,S,3
175,0,56.0,0,0,30.6958,male,C,1
393,0,28.0,2,0,7.925,male,S,3
500,0,24.0,0,0,7.7958,male,S,3
658,0,32.0,1,1,15.5,female,Q,3
94,0,26.0,1,2,20.575,male,S,3
450,1,52.0,0,0,30.5,male,S,1
427,1,28.0,1,0,26.0,female,S,2
557,1,48.0,1,0,39.6,female,C,1
608,1,27.0,0,0,30.5,male,S,1
154,0,40.5,0,2,14.5,male,S,3
117,0,70.5,0,0,7.75,male,Q,3
595,0,37.0,1,0,26.0,male,S,2
882,0,33.0,0,0,7.8958,male,S,3
751,1,4.0,1,1,23.0,female,S,2
757,0,28.0,0,0,7.7958,male,S,3
19,0,31.0,1,0,18.0,female,S,3
24,1,28.0,0,0,35.5,male,S,1
277,0,45.0,0,0,7.75,female,S,3
31,0,40.0,0,0,27.7208,male,C,1
