PassengerId,Survived,Age,SibSp,Parch,Fare
661,1,50.0,2,0,133.65
853,0,9.0,1,1,15.2458
704,0,25.0,0,0,7.7417
887,0,27.0,0,0,13.0
526,0,40.5,0,0,7.75
179,0,30.0,0,0,13.0
400,1,28.0,0,0,12.65
80,1,30.0,0,0,12.475
852,0,74.0,0,0,7.775
247,0,25.0,0,0,7.775
203,0,34.0,0,0,6.4958
638,0,31.0,1,1,26.25
805,1,27.0,0,0,6.975
231,1,35.0,1,0,83.475
51,0,7.0,4,1,39.6875
167,1,,0,1,55.0
530,0,23.0,2,1,11.5
607,0,30.0,0,0,7.8958
8,0,2.0,3,1,21.075
859,1,24.0,0,3,19.2583
336,0,,0,0,7.8958
833,0,,0,0,7.2292
233,0,59.0,0,0,13.5
151,0,51.0,0,0,12.525
374,0,22.0,0,0,135.6333
448,1,34.0,0,0,26.55
86,1,33.0,3,0,15.85
566,0,24.0,2,0,24.15
133,0,47.0,1,0,14.5
663,0,47.0,0,0,25.5875
345,0,36.0,0,0,13.0
784,0,,1,2,23.45
10,1,14.0,1,0,30.0708
255,0,41.0,0,2,20.2125
767,0,,0,0,39.6
83,1,,0,0,7.7875
65,0,,0,0,27.7208
549,0,33.0,1,1,20.525
329,1,31.0,1,1,20.525
722,0,17.0,1,0,7.0542
373,0,19.0,0,0,8.05
120,0,2.0,4,2,31.275
418,1,18.0,0,2,13.0
585,0,,0,0,8.7125
592,1,52.0,1,0,78.2667
417,1,34.0,1,1,32.5
802,1,31.0,1,1,26.25
513,1,36.0,0,0,26.2875
456,1,29.0,0,0,7.8958
758,0,18.0,0,0,11.5
276,1,63.0,1,0,77.9583
122,0,,0,0,8.05
444,1,28.0,0,0,13.0
459,1,50.0,0,0,10.5
654,1,,0,0,7.8292
726,0,20.0,0,0,8.6625
396,0,22.0,0,0,7.7958
755,1,48.0,1,2,65.0
41,0,40.0,1,0,9.475
218,0,42.0,1,0,27.0
458,1,,1,0,51.8625
733,0,,0,0,0.0
470,1,0.75,2,1,19.2583
251,0,,0,0,7.25
125,0,54.0,0,1,77.2875
471,0,,0,0,7.25
292,1,19.0,1,0,91.0792
170,0,28.0,0,0,56.4958
301,1,,0,0,7.75
667,0,25.0,0,0,13.0
886,0,39.0,0,5,29.125
35,0,28.0,1,0,82.1708
349,1,3.0,1,1,15.9
164,0,17.0,0,0,8.6625
160,0,,8,2,69.55
288,0,22.0,0,0,7.8958
184,1,1.0,2,1,39.0
370,1,24.0,0,0,69.3
598,0,49.0,0,0,0.0
22,1,34.0,0,0,13.0
707,1,45.0,0,0,13.5
388,1,36.0,0,0,13.0
284,1,19.0,0,0,8.05
761,0,,0,0,14.5
771,0,24.0,0,0,9.5
763,1,20.0,0,0,7.2292
161,0,44.0,0,1,16.1
344,0,25.0,0,0,13.0
121,0,21.0,2,0,73.5
315,0,43.0,1,1,26.25
128,1,24.0,0,0,7.1417
835,0,18.0,0,0,8.3
673,0,70.0,0,0,10.5
81,0,22.0,0,0,9.0
692,1,4.0,0,1,13.4167
416,0,,0,0,8.05
655,0,18.0,0,0,6.75
447,1,13.0,0,1,19.5
193,1,19.0,1,0,7.8542
23,1,15.0,0,0,8.0292
182,0,,0,0,15.05
587,0,47.0,0,0,15.0
493,0,55.0,0,0,30.5
657,0,,0,0,7.8958
123,0,32.5,1,0,30.0708
683,0,20.0,0,0,9.225
875,1,28.0,1,0,24.0
705,0,26.0,1,0,7.8542
213,0,22.0,0,0,7.25
67,1,29.0,0,0,10.5
509,0,28.0,0,0,22.525
191,1,32.0,0,0,13.0
85,1,17.0,0,0,10.5
243,0,29.0,0,0,10.5
156,0,51.0,0,1,61.3792
332,0,45.5,0,0,28.5
786,0,25.0,0,0,7.25
752,1,6.0,0,1,12.475
829,1,,0,0,7.75
102,0,,0,0,7.8958
229,0,18.0,0,0,13.0
506,0,18.0,1,0,108.9
719,0,,0,0,15.5
837,0,21.0,0,0,8.6625
880,1,56.0,0,1,83.1583
518,0,,0,0,24.15
95,0,59.0,0,0,7.25
668,0,,0,0,7.775
680,1,36.0,0,1,512.3292
606,0,36.0,1,0,15.55
246,0,44.0,2,0,90.0
333,0,38.0,0,1,153.4625
397,0,31.0,0,0,7.8542
730,0,25.0,1,0,7.925
868,0,31.0,0,0,50.4958
846,0,42.0,0,0,7.55
290,1,22.0,0,0,7.75
143,1,24.0,1,0,15.85
